"Gene > Systematic Name","Gene > Length","Gene > Transcripts > Length","Gene > Name"
"YAL021C","2514","2817","Carbon Catabolite Repression"
"YAL021C","2514","2822","Carbon Catabolite Repression"
"YAL021C","2514","2867","Carbon Catabolite Repression"
"YAL021C","2514","2870","Carbon Catabolite Repression"
"YAL022C","1554","1629","Function Unknown Now"
"YAL022C","1554","1732","Function Unknown Now"
"YAL022C","1554","1739","Function Unknown Now"
"YAL023C","2280","2477","Protein O-MannosylTransferase"
"YAL023C","2280","2504","Protein O-MannosylTransferase"
"YAL023C","2280","2509","Protein O-MannosylTransferase"
"YAL023C","2280","2528","Protein O-MannosylTransferase"
"YAL023C","2280","2577","Protein O-MannosylTransferase"
"YAL025C","921","1111","MAintenance of Killer"
"YAL025C","921","1117","MAintenance of Killer"
"YAL025C","921","1223","MAintenance of Killer"
"YAL025C","921","1229","MAintenance of Killer"
"YAL027W","786","983","Single-strand Annealing Weakened"
"YAL027W","786","988","Single-strand Annealing Weakened"
"YAL028W","1587","1714","Functionally Related to TCP1"
"YAL028W","1587","2120","Functionally Related to TCP1"
"YAL030W","467","588","Suppressor of the Null allele of CAP"
"YAL030W","467","593","Suppressor of the Null allele of CAP"
"YAL030W","467","598","Suppressor of the Null allele of CAP"
"YAL030W","467","599","Suppressor of the Null allele of CAP"
"YAL030W","467","604","Suppressor of the Null allele of CAP"
"YAL030W","467","631","Suppressor of the Null allele of CAP"
"YAL030W","467","636","Suppressor of the Null allele of CAP"
"YAL030W","467","749","Suppressor of the Null allele of CAP"
"YAL030W","467","797","Suppressor of the Null allele of CAP"
"YAL031C","2283","2444","Glc7 Interacting Protein"
"YAL031C","2283","2491","Glc7 Interacting Protein"
"YAL032C","1140","1312","Pre-mRNA Processing"
"YAL032C","1140","1392","Pre-mRNA Processing"
"YAL033W","522","599","Processing Of Precursor RNAs"
"YAL033W","522","604","Processing Of Precursor RNAs"
"YAL033W","522","612","Processing Of Precursor RNAs"
"YAL033W","522","616","Processing Of Precursor RNAs"
"YAL033W","522","696","Processing Of Precursor RNAs"
"YAL033W","522","712","Processing Of Precursor RNAs"
"YAL034C","1242","1957","Function Unknown Now"
"YAL034C","1242","1972","Function Unknown Now"
"YAL034C","1242","1983","Function Unknown Now"
"YAL034C","1242","2037","Function Unknown Now"
"YAL034C","1242","2039","Function Unknown Now"
"YAL034C-B","354","427",""
"YAL034W-A","870","958","Mis TWelve-like"
"YAL034W-A","870","976","Mis TWelve-like"
"YAL034W-A","870","981","Mis TWelve-like"
"YAL034W-A","870","1063","Mis TWelve-like"
"YAL034W-A","870","1070","Mis TWelve-like"
"YAL035W","3009","3127","Function Unknown Now"
"YAL035W","3009","3154","Function Unknown Now"
"YAL035W","3009","3191","Function Unknown Now"
"YAL035W","3009","3194","Function Unknown Now"
"YAL036C","1110","1429","RiBosome interacting Gtpase"
"YAL036C","1110","2027","RiBosome interacting Gtpase"
"YAL037C-A","93","339",""
"YAL037W","804","2938",""
"YAL037W","804","2947",""
"YAL038W","1503","1670","Cell Division Cycle"
"YAL038W","1503","1676","Cell Division Cycle"
"YAL038W","1503","1679","Cell Division Cycle"
"YAL038W","1503","1681","Cell Division Cycle"
"YAL038W","1503","1685","Cell Division Cycle"
"YAL038W","1503","1688","Cell Division Cycle"
"YAL038W","1503","1690","Cell Division Cycle"
"YAL038W","1503","1694","Cell Division Cycle"
"YAL038W","1503","1696","Cell Division Cycle"
"YAL038W","1503","1699","Cell Division Cycle"
"YAL038W","1503","1702","Cell Division Cycle"
"YAL038W","1503","1707","Cell Division Cycle"
"YAL038W","1503","1708","Cell Division Cycle"
"YAL038W","1503","1714","Cell Division Cycle"
"YAL038W","1503","1718","Cell Division Cycle"
"YAL038W","1503","1724","Cell Division Cycle"
"YAL038W","1503","1729","Cell Division Cycle"
"YAL038W","1503","1731","Cell Division Cycle"
"YAL038W","1503","1736","Cell Division Cycle"
"YAL038W","1503","1742","Cell Division Cycle"
"YAL038W","1503","1773","Cell Division Cycle"
"YAL038W","1503","1804","Cell Division Cycle"
"YAL038W","1503","1971","Cell Division Cycle"
"YAL039C","810","912","CYtochrome C"
"YAL039C","810","918","CYtochrome C"
"YAL039C","810","923","CYtochrome C"
"YAL039C","810","929","CYtochrome C"
"YAL039C","810","929","CYtochrome C"
"YAL039C","810","935","CYtochrome C"
"YAL039C","810","1013","CYtochrome C"
"YAL039C","810","1441","CYtochrome C"
"YAL040C","1743","2252","CycLiN"
"YAL040C","1743","2392","CycLiN"
"YAL041W","2565","2690","Cell Division Cycle"
"YAL041W","2565","2693","Cell Division Cycle"
"YAL042W","1248","1347","ER Vesicle"
"YAL042W","1248","1353","ER Vesicle"
"YAL042W","1248","1360","ER Vesicle"
"YAL042W","1248","1395","ER Vesicle"
"YAL042W","1248","1411","ER Vesicle"
"YAL043C","2358","2458","Pre-Trna Accumulation"
"YAL043C","2358","2475","Pre-Trna Accumulation"
"YAL043C","2358","2480","Pre-Trna Accumulation"
"YAL043C","2358","2480","Pre-Trna Accumulation"
"YAL043C","2358","2569","Pre-Trna Accumulation"
"YAL044C","513","586","GlyCine cleaVage"
"YAL044C","513","589","GlyCine cleaVage"
"YAL044C","513","590","GlyCine cleaVage"
"YAL044C","513","594","GlyCine cleaVage"
"YAL044C","513","595","GlyCine cleaVage"
"YAL044C","513","599","GlyCine cleaVage"
"YAL044C","513","600","GlyCine cleaVage"
"YAL044C","513","604","GlyCine cleaVage"
"YAL044C","513","606","GlyCine cleaVage"
"YAL044C","513","607","GlyCine cleaVage"
"YAL044C","513","609","GlyCine cleaVage"
"YAL044C","513","611","GlyCine cleaVage"
"YAL044C","513","613","GlyCine cleaVage"
"YAL044C","513","616","GlyCine cleaVage"
"YAL044C","513","616","GlyCine cleaVage"
"YAL044C","513","618","GlyCine cleaVage"
"YAL044C","513","618","GlyCine cleaVage"
"YAL044C","513","623","GlyCine cleaVage"
"YAL044C","513","623","GlyCine cleaVage"
"YAL044C","513","623","GlyCine cleaVage"
"YAL044C","513","628","GlyCine cleaVage"
"YAL044C","513","630","GlyCine cleaVage"
"YAL044C","513","720","GlyCine cleaVage"
"YAL044C","513","746","GlyCine cleaVage"
"YAL044W-A","333","431","BolA-like protein"
"YAL044W-A","333","439","BolA-like protein"
"YAL044W-A","333","445","BolA-like protein"
"YAL044W-A","333","445","BolA-like protein"
"YAL044W-A","333","450","BolA-like protein"
"YAL044W-A","333","450","BolA-like protein"
"YAL044W-A","333","451","BolA-like protein"
"YAL044W-A","333","456","BolA-like protein"
"YAL044W-A","333","456","BolA-like protein"
"YAL044W-A","333","461","BolA-like protein"
"YAL044W-A","333","461","BolA-like protein"
"YAL044W-A","333","483","BolA-like protein"
"YAL044W-A","333","488","BolA-like protein"
"YAL044W-A","333","494","BolA-like protein"
"YAL044W-A","333","499","BolA-like protein"
"YAL044W-A","333","526","BolA-like protein"
"YAL044W-A","333","985","BolA-like protein"
"YAL044W-A","333","1035","BolA-like protein"
"YAL046C","357","494","BolA-like protein"
"YAL046C","357","501","BolA-like protein"
"YAL046C","357","509","BolA-like protein"
"YAL046C","357","519","BolA-like protein"
"YAL046C","357","574","BolA-like protein"
"YAL046C","357","637","BolA-like protein"
"YAL047C","1869","1930","Spindle Pole Component"
"YAL047C","1869","1952","Spindle Pole Component"
"YAL047C","1869","1953","Spindle Pole Component"
"YAL047C","1869","1955","Spindle Pole Component"
"YAL047W-A","330","844",""
"YAL047W-A","330","854",""
"YAL049C","741","869","Altered Inheritance rate of Mitochondria"
"YAL049C","741","875","Altered Inheritance rate of Mitochondria"
"YAL049C","741","877","Altered Inheritance rate of Mitochondria"
"YAL049C","741","882","Altered Inheritance rate of Mitochondria"
"YAL049C","741","882","Altered Inheritance rate of Mitochondria"
"YAL049C","741","885","Altered Inheritance rate of Mitochondria"
"YAL049C","741","887","Altered Inheritance rate of Mitochondria"
"YAL049C","741","893","Altered Inheritance rate of Mitochondria"
"YAL049C","741","905","Altered Inheritance rate of Mitochondria"
"YAL049C","741","909","Altered Inheritance rate of Mitochondria"
"YAL049C","741","910","Altered Inheritance rate of Mitochondria"
"YAL049C","741","911","Altered Inheritance rate of Mitochondria"
"YAL049C","741","916","Altered Inheritance rate of Mitochondria"
"YAL049C","741","921","Altered Inheritance rate of Mitochondria"
"YAL049C","741","921","Altered Inheritance rate of Mitochondria"
"YAL049C","741","926","Altered Inheritance rate of Mitochondria"
"YAL049C","741","929","Altered Inheritance rate of Mitochondria"
"YAL049C","741","934","Altered Inheritance rate of Mitochondria"
"YAL049C","741","961","Altered Inheritance rate of Mitochondria"
"YAL049C","741","1861","Altered Inheritance rate of Mitochondria"
"YAL049C","741","2391","Altered Inheritance rate of Mitochondria"
"YAL053W","2352","2545","FLavin Carrier"
"YAL053W","2352","2553","FLavin Carrier"
"YAL053W","2352","2573","FLavin Carrier"
"YAL053W","2352","2582","FLavin Carrier"
"YAL053W","2352","2637","FLavin Carrier"
"YAL054C","2142","2360","Acetyl CoA Synthetase"
"YAL055W","543","621","PEroXisome related"
"YAL055W","543","628","PEroXisome related"
"YAL055W","543","641","PEroXisome related"
"YAL055W","543","643","PEroXisome related"
"YAL055W","543","650","PEroXisome related"
"YAL055W","543","696","PEroXisome related"
"YAL055W","543","717","PEroXisome related"
"YAL056W","2643","2806",""
"YAL056W","2643","2844",""
"YAL058W","1509","1617","CalNExin and calreticulin homolog"
"YAL058W","1509","1622","CalNExin and calreticulin homolog"
"YAL058W","1509","1744","CalNExin and calreticulin homolog"
"YAL058W","1509","1758","CalNExin and calreticulin homolog"
"YAL059W","639","878","ExtraCellular Mutant"
"YAL059W","639","881","ExtraCellular Mutant"
"YAL060W","1149","1287","Butanediol DeHydrogenase"
"YAL060W","1149","1302","Butanediol DeHydrogenase"
"YAL060W","1149","1314","Butanediol DeHydrogenase"
"YAL060W","1149","1324","Butanediol DeHydrogenase"
"YAL060W","1149","1326","Butanediol DeHydrogenase"
"YAL060W","1149","1432","Butanediol DeHydrogenase"
"YAL061W","1254","1673",""
"YAL061W","1254","1754",""
"YAL062W","1374","1499","Glutamate DeHydrogenase"
"YAL062W","1374","1512","Glutamate DeHydrogenase"
"YAL063C-A","291","856",""
"YAL063C-A","291","1566",""
"YAL064W-B","381","3838",""
"YAL066W","309","653",""
"YAL067C","1782","2036","Suppressor of sulfoxyde EthiOnine resistance"
"YAR002C-A","660","733","Emp24p/Erv25p Related Protein"
"YAR002C-A","660","737","Emp24p/Erv25p Related Protein"
"YAR002C-A","660","742","Emp24p/Erv25p Related Protein"
"YAR002C-A","660","752","Emp24p/Erv25p Related Protein"
"YAR002C-A","660","764","Emp24p/Erv25p Related Protein"
"YAR002C-A","660","769","Emp24p/Erv25p Related Protein"
"YAR002C-A","660","800","Emp24p/Erv25p Related Protein"
"YAR002C-A","660","942","Emp24p/Erv25p Related Protein"
"YAR002C-A","660","975","Emp24p/Erv25p Related Protein"
"YAR002W","1620","1762","NUclear Pore"
"YAR002W","1620","1775","NUclear Pore"
"YAR002W","1620","1881","NUclear Pore"
"YAR002W","1620","1899","NUclear Pore"
"YAR003W","1281","1817","Set1c, WD40 repeat protein"
"YAR003W","1281","1823","Set1c, WD40 repeat protein"
"YAR003W","1281","1837","Set1c, WD40 repeat protein"
"YAR003W","1281","1861","Set1c, WD40 repeat protein"
"YAR003W","1281","1866","Set1c, WD40 repeat protein"
"YAR003W","1281","1896","Set1c, WD40 repeat protein"
"YAR003W","1281","1951","Set1c, WD40 repeat protein"
"YAR007C","1866","1979","Replication Factor A"
"YAR007C","1866","1986","Replication Factor A"
"YAR007C","1866","2017","Replication Factor A"
"YAR007C","1866","2034","Replication Factor A"
"YAR008W","828","1027","Splicing ENdonuclease"
"YAR008W","828","1039","Splicing ENdonuclease"
"YAR008W","828","1069","Splicing ENdonuclease"
"YAR008W","828","1120","Splicing ENdonuclease"
"YAR014C","2130","2454","BUD site selection"
"YAR014C","2130","2456","BUD site selection"
"YAR015W","921","1066","ADEnine requiring"
"YAR015W","921","1071","ADEnine requiring"
"YAR015W","921","1076","ADEnine requiring"
"YAR015W","921","1081","ADEnine requiring"
"YAR015W","921","1105","ADEnine requiring"
"YAR015W","921","1110","ADEnine requiring"
"YAR015W","921","1119","ADEnine requiring"
"YAR015W","921","1132","ADEnine requiring"
"YAR015W","921","1137","ADEnine requiring"
"YAR015W","921","1366","ADEnine requiring"
"YAR015W","921","2678","ADEnine requiring"
"YAR018C","1308","1538","protein KINase"
"YAR018C","1308","1555","protein KINase"
"YAR019C","2925","3042","Cell Division Cycle"
"YAR023C","540","952","DUP240 Family Protein"
"YAR023C","540","1452","DUP240 Family Protein"
"YAR027W","708","968","Ulp1 Interacting Protein"
"YAR027W","708","1012","Ulp1 Interacting Protein"
"YAR027W","708","1016","Ulp1 Interacting Protein"
"YAR028W","705","927","Killer Toxin Defens"
"YAR028W","705","936","Killer Toxin Defens"
"YAR028W","705","954","Killer Toxin Defens"
"YAR028W","705","1115","Killer Toxin Defens"
"YAR028W","705","1145","Killer Toxin Defens"
"YAR029W","225","1139","DUP240 Family Protein"
"YAR029W","225","1745","DUP240 Family Protein"
"YAR030C","342","824",""
"YAR033W","705","1080","Multicopy suppressor of Sec Twenty one"
"YAR033W","705","1215","Multicopy suppressor of Sec Twenty one"
"YAR035W","2064","2209",""
"YAR042W","3567","3723",""
"YAR042W","3567","3766",""
"YAR053W","297","1439",""
"YBL001C","315","373","ExtraCellular Mutant"
"YBL001C","315","536","ExtraCellular Mutant"
"YBL001C","315","568","ExtraCellular Mutant"
"YBL001C","315","574","ExtraCellular Mutant"
"YBL001C","315","583","ExtraCellular Mutant"
"YBL001C","315","586","ExtraCellular Mutant"
"YBL001C","315","628","ExtraCellular Mutant"
"YBL001C","315","633","ExtraCellular Mutant"
"YBL001C","315","729","ExtraCellular Mutant"
"YBL001C","315","791","ExtraCellular Mutant"
"YBL002W","396","622","Histone h Two B"
"YBL002W","396","663","Histone h Two B"
"YBL002W","396","693","Histone h Two B"
"YBL002W","396","813","Histone h Two B"
"YBL002W","396","1290","Histone h Two B"
"YBL003C","399","565","Histone h Two A"
"YBL003C","399","566","Histone h Two A"
"YBL003C","399","572","Histone h Two A"
"YBL003C","399","580","Histone h Two A"
"YBL003C","399","592","Histone h Two A"
"YBL003C","399","593","Histone h Two A"
"YBL003C","399","598","Histone h Two A"
"YBL003C","399","599","Histone h Two A"
"YBL003C","399","599","Histone h Two A"
"YBL003C","399","605","Histone h Two A"
"YBL003C","399","607","Histone h Two A"
"YBL003C","399","609","Histone h Two A"
"YBL003C","399","613","Histone h Two A"
"YBL003C","399","626","Histone h Two A"
"YBL003C","399","631","Histone h Two A"
"YBL003C","399","632","Histone h Two A"
"YBL003C","399","636","Histone h Two A"
"YBL003C","399","641","Histone h Two A"
"YBL003C","399","642","Histone h Two A"
"YBL003C","399","646","Histone h Two A"
"YBL003C","399","958","Histone h Two A"
"YBL003C","399","1836","Histone h Two A"
"YBL005W","2931","3281","Pleiotropic Drug Resistance"
"YBL006C","543","662","Low Dye Binding"
"YBL006C","543","720","Low Dye Binding"
"YBL006C","543","809","Low Dye Binding"
"YBL006C","543","1039","Low Dye Binding"
"YBL006W-A","150","857",""
"YBL007C","3735","3946","Synthetic Lethal with ABP1"
"YBL007C","3735","3956","Synthetic Lethal with ABP1"
"YBL007C","3735","3969","Synthetic Lethal with ABP1"
"YBL008W","2523","2692","HIstone Regulation"
"YBL008W","2523","2725","HIstone Regulation"
"YBL009W","2031","2209",""
"YBL009W","2031","2231",""
"YBL010C","843","1071","Large Adaptin Accessory"
"YBL010C","843","1172","Large Adaptin Accessory"
"YBL010C","843","1214","Large Adaptin Accessory"
"YBL011W","2280","2586","Suppressor of Choline-Transport mutants"
"YBL011W","2280","3007","Suppressor of Choline-Transport mutants"
"YBL011W","2280","3208","Suppressor of Choline-Transport mutants"
"YBL014C","2685","2834","Regulation of RNA polymerase I"
"YBL014C","2685","2854","Regulation of RNA polymerase I"
"YBL014C","2685","3411","Regulation of RNA polymerase I"
"YBL015W","1581","1965","Acetyl CoA Hydrolase"
"YBL015W","1581","2027","Acetyl CoA Hydrolase"
"YBL016W","1062","1275","cell FUSion"
"YBL018C","477","544","Processing Of Precursor RNAs"
"YBL018C","477","568","Processing Of Precursor RNAs"
"YBL018C","477","583","Processing Of Precursor RNAs"
"YBL018C","477","602","Processing Of Precursor RNAs"
"YBL018C","477","839","Processing Of Precursor RNAs"
"YBL018C","477","1262","Processing Of Precursor RNAs"
"YBL019W","1563","1729","APurinic/apyrimidinic eNdonuclease"
"YBL019W","1563","1748","APurinic/apyrimidinic eNdonuclease"
"YBL020W","1725","1877","Requiring Fifty-Three"
"YBL020W","1725","1883","Requiring Fifty-Three"
"YBL020W","1725","1920","Requiring Fifty-Three"
"YBL021C","435","620","Heme Activator Protein"
"YBL021C","435","638","Heme Activator Protein"
"YBL021C","435","686","Heme Activator Protein"
"YBL021C","435","1034","Heme Activator Protein"
"YBL022C","3402","3594","Proteolysis In Mitochondria"
"YBL022C","3402","3610","Proteolysis In Mitochondria"
"YBL022C","3402","3611","Proteolysis In Mitochondria"
"YBL022C","3402","3617","Proteolysis In Mitochondria"
"YBL023C","2607","2885","MiniChromosome Maintenance"
"YBL023C","2607","2897","MiniChromosome Maintenance"
"YBL024W","2055","2363","NuCLear protein"
"YBL024W","2055","2364","NuCLear protein"
"YBL025W","438","1080","Regulation of RNA polymerase I"
"YBL025W","438","1218","Regulation of RNA polymerase I"
"YBL026W","416","549","Like SM"
"YBL026W","416","557","Like SM"
"YBL026W","416","587","Like SM"
"YBL026W","416","592","Like SM"
"YBL026W","416","607","Like SM"
"YBL026W","416","613","Like SM"
"YBL026W","416","618","Like SM"
"YBL026W","416","644","Like SM"
"YBL026W","416","919","Like SM"
"YBL026W","416","949","Like SM"
"YBL027W","954","1020","Ribosomal Protein of the Large subunit"
"YBL027W","954","1027","Ribosomal Protein of the Large subunit"
"YBL027W","954","1032","Ribosomal Protein of the Large subunit"
"YBL027W","954","1037","Ribosomal Protein of the Large subunit"
"YBL027W","954","1051","Ribosomal Protein of the Large subunit"
"YBL027W","954","1057","Ribosomal Protein of the Large subunit"
"YBL027W","954","1058","Ribosomal Protein of the Large subunit"
"YBL027W","954","1063","Ribosomal Protein of the Large subunit"
"YBL027W","954","1063","Ribosomal Protein of the Large subunit"
"YBL027W","954","1064","Ribosomal Protein of the Large subunit"
"YBL027W","954","1068","Ribosomal Protein of the Large subunit"
"YBL027W","954","1069","Ribosomal Protein of the Large subunit"
"YBL027W","954","1069","Ribosomal Protein of the Large subunit"
"YBL027W","954","1070","Ribosomal Protein of the Large subunit"
"YBL027W","954","1074","Ribosomal Protein of the Large subunit"
"YBL027W","954","1075","Ribosomal Protein of the Large subunit"
"YBL027W","954","1076","Ribosomal Protein of the Large subunit"
"YBL027W","954","1077","Ribosomal Protein of the Large subunit"
"YBL027W","954","1080","Ribosomal Protein of the Large subunit"
"YBL027W","954","1081","Ribosomal Protein of the Large subunit"
"YBL027W","954","1084","Ribosomal Protein of the Large subunit"
"YBL027W","954","1084","Ribosomal Protein of the Large subunit"
"YBL027W","954","1085","Ribosomal Protein of the Large subunit"
"YBL027W","954","1086","Ribosomal Protein of the Large subunit"
"YBL027W","954","1089","Ribosomal Protein of the Large subunit"
"YBL027W","954","1090","Ribosomal Protein of the Large subunit"
"YBL027W","954","1090","Ribosomal Protein of the Large subunit"
"YBL027W","954","1094","Ribosomal Protein of the Large subunit"
"YBL027W","954","1096","Ribosomal Protein of the Large subunit"
"YBL027W","954","1096","Ribosomal Protein of the Large subunit"
"YBL027W","954","1097","Ribosomal Protein of the Large subunit"
"YBL027W","954","1102","Ribosomal Protein of the Large subunit"
"YBL027W","954","1102","Ribosomal Protein of the Large subunit"
"YBL027W","954","1102","Ribosomal Protein of the Large subunit"
"YBL027W","954","1106","Ribosomal Protein of the Large subunit"
"YBL027W","954","1108","Ribosomal Protein of the Large subunit"
"YBL027W","954","1110","Ribosomal Protein of the Large subunit"
"YBL027W","954","1116","Ribosomal Protein of the Large subunit"
"YBL027W","954","1118","Ribosomal Protein of the Large subunit"
"YBL027W","954","1121","Ribosomal Protein of the Large subunit"
"YBL027W","954","1128","Ribosomal Protein of the Large subunit"
"YBL027W","954","1129","Ribosomal Protein of the Large subunit"
"YBL027W","954","1133","Ribosomal Protein of the Large subunit"
"YBL027W","954","1133","Ribosomal Protein of the Large subunit"
"YBL027W","954","1357","Ribosomal Protein of the Large subunit"
"YBL027W","954","1447","Ribosomal Protein of the Large subunit"
"YBL028C","321","560",""
"YBL028C","321","663",""
"YBL028C","321","664",""
"YBL029C-A","285","456",""
"YBL029C-A","285","476",""
"YBL029C-A","285","484",""
"YBL029C-A","285","492",""
"YBL029C-A","285","496",""
"YBL029C-A","285","499",""
"YBL029C-A","285","504",""
"YBL029C-A","285","505",""
"YBL029C-A","285","512",""
"YBL029C-A","285","513",""
"YBL029C-A","285","1521",""
"YBL029C-A","285","1689",""
"YBL030C","957","1347","PETite"
"YBL030C","957","1352","PETite"
"YBL030C","957","1371","PETite"
"YBL030C","957","1379","PETite"
"YBL030C","957","1427","PETite"
"YBL030C","957","1454","PETite"
"YBL031W","1017","1221","Sensitivity to High Expression"
"YBL031W","1017","1222","Sensitivity to High Expression"
"YBL032W","1146","1395","HEterogeneous nuclear rnp K-like gene"
"YBL032W","1146","1449","HEterogeneous nuclear rnp K-like gene"
"YBL032W","1146","1456","HEterogeneous nuclear rnp K-like gene"
"YBL033C","1038","1128","RIBoflavin biosynthesis"
"YBL033C","1038","1238","RIBoflavin biosynthesis"
"YBL035C","2118","2265","POLymerase"
"YBL035C","2118","2339","POLymerase"
"YBL036C","774","868",""
"YBL036C","774","903",""
"YBL036C","774","908",""
"YBL036C","774","1386",""
"YBL036C","774","1971",""
"YBL038W","699","816","Mitochondrial Ribosomal Protein, Large subunit"
